      PID    PPID    PGID     WINPID   TTY         UID    STIME COMMAND
  4222424       0       0      28120  ?              0   Sep  6 C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.29.290.0_arm64__8wekyb3d8bbwe\WindowsPackageManagerServer.exe
  4203728       0       0       9424  ?              0   Sep  4 C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe
  4222588       0       0      28284  ?              0   Sep  6 C:\Program Files\Common Files\microsoft shared\ClickToRun\AppVShNotify.exe
  4222784       0       0      28480  ?              0   Sep  4 C:\Windows\System32\SearchIndexer.exe
  4211464       0       0      17160  ?              0   Sep  6 C:\Windows\System32\rundll32.exe
  4221724       0       0      27420  ?              0   Sep  6 C:\Windows\explorer.exe
  4203092       0       0       8788  ?              0   Sep  6 C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe
  4201416       0       0       7112  ?              0   Sep  6 C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe
  4208368       0       0      14064  ?              0   Sep  6 C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe
  4217712       0       0      23408  ?              0   Sep  6 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe
  4206292       0       0      11988  ?              0   Sep  6 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe
  4221460       0       0      27156  ?              0   Sep  6 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe
  4205520       0       0      11216  ?              0   Sep  6 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe
  4217508       0       0      23204  ?              0   Sep  6 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe
  4209412       0       0      15108  ?              0   Sep  6 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe
  4198236       0       0       3932  ?              0   Sep  6 C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2605.38.0_arm64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe
  4199404       0       0       5100  ?              0   Sep  6 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4217176       0       0      22872  ?              0   Sep  6 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4197304       0       0       3000  ?              0   Sep  6 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4205848       0       0      11544  ?              0   Sep  6 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4200756       0       0       6452  ?              0   Sep  6 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4202972       0       0       8668  ?              0   Sep  6 C:\Windows\System32\conhost.exe
  4215536       0       0      21232  ?              0   Sep  6 C:\ap06-2160\restart01\b\usr\bin\gpg-agent.exe
  4204900       0       0      10596  ?              0   Sep  6 C:\ap06-2160\restart01\b\usr\lib\gnupg\scdaemon.exe
  4213012       0       0      18708  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4212752       0       0      18448  ?              0   Sep  4 C:\Program Files\WindowsApps\Microsoft.SurfaceHub_76.5120.174.0_arm64__8wekyb3d8bbwe\Services\SurfaceBroker.exe
  4214372       0       0      20068  ?              0   Sep  7 C:\Windows\System32\conhost.exe
  4201164       0       0       6860  ?              0   Sep  7 C:\ap06-2160\restart01\b\usr\bin\gpg-agent.exe
  4195816       0       0       1512  ?              0   Sep  7 C:\ap06-2160\restart01\b\usr\lib\gnupg\scdaemon.exe
  4211360       0       0      17056  ?              0   Sep  7 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4200296       0       0       5992  ?              0   Sep  7 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4213400       0       0      19096  ?              0   Sep  7 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4215356       0       0      21052  ?              0   Sep  7 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4210096       0       0      15792  ?              0   Sep  7 C:\Windows\System32\conhost.exe
  4204108       0       0       9804  ?              0   Sep  7 C:\ap06-2160\p8\b\usr\bin\gpg-agent.exe
  4211496       0       0      17192  ?              0   Sep  7 C:\ap06-2160\p8\b\usr\lib\gnupg\scdaemon.exe
  4222188       0       0      27884  ?              0   Sep  7 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4198904       0       0       4600  ?              0   Sep  7 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4221576       0       0      27272  ?              0   Sep  8 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4209356       0       0      15052  ?              0   Sep  8 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4220100       0       0      25796  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4210368       0       0      16064  ?              0   Sep  8 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4219860       0       0      25556  ?              0   Sep  8 C:\Windows\System32\RuntimeBroker.exe
  4203424       0       0       9120  ?              0   Sep  8 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4200956       0       0       6652  ?              0   Sep  8 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4205676       0       0      11372  ?              0   Sep  8 C:\Windows\System32\conhost.exe
  4209048       0       0      14744  ?              0   Sep  8 C:\ap06-2160\p8\b\usr\lib\gnupg\keyboxd.exe
  4216180       0       0      21876  ?              0   Sep  8 C:\Windows\System32\conhost.exe
  4201744       0       0       7440  ?              0   Sep  8 C:\ap06-2160\p8\b\usr\bin\gpg-agent.exe
  4207752       0       0      13448  ?              0   Sep  8 C:\ap06-2160\p8\b\usr\lib\gnupg\scdaemon.exe
  4211764       0       0      17460  ?              0   Sep  8 C:\Windows\System32\conhost.exe
  4204680       0       0      10376  ?              0   Sep  8 C:\ap06-2160\p8\b\usr\bin\gpg-agent.exe
  4201860       0       0       7556  ?              0   Sep  8 C:\ap06-2160\p8\b\usr\lib\gnupg\scdaemon.exe
  4204540       0       0      10236  ?              0   Sep  8 C:\ap06-2160\p8\b\usr\bin\dirmngr.exe
  4212676       0       0      18372  ?              0   Sep  8 C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_arm64__8wekyb3d8bbwe\WindowsTerminal.exe
  4219580       0       0      25276  ?              0   Sep  8 C:\Windows\ImmersiveControlPanel\SystemSettings.exe
  4221772       0       0      27468  ?              0   Sep  8 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4209284       0       0      14980  ?              0   Sep  8 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4211776       0       0      17472  ?              0   Sep  8 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4220044       0       0      25740  ?              0   Sep  9 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4206724       0       0      12420  ?              0   Sep  9 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4205996       0       0      11692  ?              0   Sep  9 C:\Users\crutkasLocal\AppData\Local\github-copilot-git-2.53.0-4\clangarm64\bin\git.exe
  4211044       0       0      16740  ?              0   Sep  9 C:\Windows\System32\conhost.exe
  4217924       0       0      23620  ?              0   Sep  9 C:\Program Files\Git\usr\bin\dirmngr.exe
  4218164       0       0      23860  ?              0   Sep  9 C:\Windows\System32\conhost.exe
  4209080       0       0      14776  ?              0   Sep  9 C:\Program Files\Git\usr\bin\gpg-agent.exe
  4213212       0       0      18908  ?              0   Sep  9 C:\Program Files\Git\usr\lib\gnupg\scdaemon.exe
  4215124       0       0      20820  ?              0   Sep  9 C:\Windows\System32\conhost.exe
  4200940       0       0       6636  ?              0   Sep  9 C:\ap10-ca5f\git-full-01\bootstrap\usr\lib\gnupg\keyboxd.exe
  4219840       0       0      25536  ?              0   Sep  9 C:\Windows\System32\conhost.exe
  4205480       0       0      11176  ?              0   Sep  9 C:\ap10-ca5f\git-full-01\bootstrap\usr\bin\dirmngr.exe
